Product Name,Region,factory,rows,units,sales,gross_profit,lead_time_mean,gross_margin_pct,priority_exposure
Wonka Bar - Triple Dazzle Caramel,Pacific,Wicked Choccy's,676,2595,9731.25,6357.75,1332.1331360946745,0.6533333333333333,12963320.5806213
Wonka Bar -Scrumdiddlyumptious,Pacific,Lot's O Nuts,672,2468,8884.8,6170.0,1331.282738095238,0.6944444444444445,11828180.87142857
Wonka Bar - Milk Chocolate,Pacific,Wicked Choccy's,666,2706,8794.5,5709.66,1326.0240240240241,0.6492307692307693,11661718.27927928
Wonka Bar -Scrumdiddlyumptious,Atlantic,Lot's O Nuts,623,2349,8456.4,5872.5,1305.370786516854,0.6944444444444444,11038737.519101124
Wonka Bar - Fudge Mallows,Pacific,Lot's O Nuts,569,2229,8024.400000000001,5349.6,1314.4340949033392,0.6666666666666666,10547544.951142356
Wonka Bar - Triple Dazzle Caramel,Atlantic,Wicked Choccy's,558,2086,7822.5,5110.7,1323.578853046595,0.6533333333333333,10353695.57795699
Wonka Bar - Milk Chocolate,Atlantic,Wicked Choccy's,639,2336,7592.0,4928.96,1309.320813771518,0.6492307692307693,9940363.618153365
Wonka Bar - Nutty Crunch Surprise,Pacific,Lot's O Nuts,572,2116,7384.84,5268.84,1304.4458041958042,0.7134670487106017,9633123.552657343
Wonka Bar - Fudge Mallows,Atlantic,Lot's O Nuts,548,2008,7228.8,4819.2,1321.1715328467153,0.6666666666666666,9550484.776642336
Wonka Bar - Nutty Crunch Surprise,Atlantic,Lot's O Nuts,490,1857,6480.93,4623.93,1360.426530612245,0.7134670487106017,8816829.115040816
