Product Name,division,current_factory,median_units,median_sales,median_cost,median_gross_profit,median_margin,order_count
Everlasting Gobstopper,Sugar,Secret Factory,4.0,40.0,8.0,32.0,0.8,3
Fizzy Lifting Drinks,Sugar,Sugar Shack,3.5,13.125,5.25,7.875,0.6,6
Fun Dip,Sugar,Sugar Shack,3.0,4.5,2.7,1.8,0.39999999999999997,3
Hair Toffee,Sugar,The Other Factory,5.0,22.5,5.0,17.5,0.7777777777777778,4
Kazookles,Other,The Other Factory,3.0,9.75,9.0,0.75,0.07692307692307693,96
Laffy Taffy,Sugar,Sugar Shack,2.0,3.98,1.5,2.48,0.6231155778894473,10
Lickable Wallpaper,Other,Secret Factory,4.0,80.0,40.0,40.0,0.5,94
Nerds,Sugar,Sugar Shack,2.5,3.75,2.0,1.75,0.4666666666666666,4
SweeTARTS,Sugar,Sugar Shack,4.0,6.0,3.2,2.8,0.4666666666666667,10
Wonka Bar - Fudge Mallows,Chocolate,Lot's O Nuts,3.0,10.8,3.6,7.2,0.6666666666666666,1818
Wonka Bar - Milk Chocolate,Chocolate,Wicked Choccy's,3.0,9.75,3.42,6.33,0.6492307692307693,2137
Wonka Bar - Nutty Crunch Surprise,Chocolate,Lot's O Nuts,3.0,10.47,3.0,7.47,0.7134670487106017,1810
Wonka Bar - Triple Dazzle Caramel,Chocolate,Wicked Choccy's,3.0,11.25,3.9,7.35,0.6533333333333333,2015
Wonka Bar -Scrumdiddlyumptious,Chocolate,Lot's O Nuts,3.0,10.8,3.3,7.5,0.6944444444444444,2064
Wonka Gum,Other,Secret Factory,3.0,3.75,1.8,1.95,0.52,120
