Product Name,rows,units,sales,gross_profit,lead_time_mean,lead_time_median
Wonka Bar - Triple Dazzle Caramel,2015,7596,28485.0,18610.2,1325.6610421836228,1274.0
Wonka Bar -Scrumdiddlyumptious,2064,7743,27874.8,19357.5,1320.6419573643411,1274.0
Wonka Bar - Milk Chocolate,2137,8267,26867.75,17443.37,1316.7646233036967,1274.0
Wonka Bar - Fudge Mallows,1818,6914,24890.4,16593.6,1314.2420242024202,1274.0
Wonka Bar - Nutty Crunch Surprise,1810,6755,23574.95,16819.95,1328.9154696132596,1274.0
Lickable Wallpaper,94,393,7860.0,3930.0,1339.1382978723404,1274.0
Kazookles,96,371,1205.75,92.75,1272.9895833333333,1273.0
Wonka Gum,120,478,597.5,310.7,1306.525,1273.5
Everlasting Gobstopper,3,13,130.0,104.0,1394.6666666666667,1273.0
Fizzy Lifting Drinks,6,21,78.75,47.25,1273.5,1274.0
Hair Toffee,4,17,76.5,59.5,1455.25,1455.0
SweeTARTS,10,41,61.5,28.7,1383.5,1274.0
Laffy Taffy,10,27,53.73,33.480000000000004,1383.1,1275.0
Nerds,4,10,15.0,7.0,1274.0,1274.0
Fun Dip,3,8,12.0,4.8,1272.6666666666667,1272.0
